Word,Word type
able,adjective
abnormal,adjective
absent,adjective
absolute,adjective
abstract,adjective
abundant,adjective
academic,adjective
acceptable,adjective
accessible,adjective
accurate,adjective
active,adjective
acute,adjective
addicted,adjective
adequate,adjective
aesthetic,adjective
afraid,adjective
aggressive,adjective
agile,adjective
agricultural,adjective
alert,adjective
alive,adjective
aloof,adjective
amber,adjective
ambiguous,adjective
ambitious,adjective
ample,adjective
angry,adjective
annual,adjective
anonymous,adjective
applied,adjective
appropriate,adjective
arbitrary,adjective
archaeological,adjective
arrogant,adjective
artificial,adjective
artistic,adjective
ashamed,adjective
asleep,adjective
assertive,adjective
astonishing,adjective
attractive,adjective
automatic,adjective
available,adjective
awake,adjective
aware,adjective
awful,adjective
awkward,adjective
bad,adjective
balanced,adjective
bald,adjective
bare,adjective
basic,adjective
beautiful,adjective
bitter,adjective
black,adjective
bland,adjective
blank,adjective
blind,adjective
blonde,adjective
bloody,adjective
bold,adjective
brave,adjective
broken,adjective
brown,adjective
bureaucratic,adjective
busy,adjective
capable,adjective
careful,adjective
cautious,adjective
central,adjective
certain,adjective
characteristic,adjective
charismatic,adjective
cheap,adjective
cheerful,adjective
childish,adjective
chronic,adjective
civic,adjective
civilian,adjective
classical,adjective
clean,adjective
clear,adjective
close,adjective
closed,adjective
cold,adjective
color-blind,adjective
colourful,adjective
comfortable,adjective
commercial,adjective
common,adjective
comparable,adjective
compatible,adjective
competent,adjective
competitive,adjective
complete,adjective
complex,adjective
comprehensive,adjective
concrete,adjective
confident,adjective
conscious,adjective
conservative,adjective
considerable,adjective
consistent,adjective
constant,adjective
constitutional,adjective
constructive,adjective
content,adjective
continental,adjective
continuous,adjective
controversial,adjective
convenient,adjective
conventional,adjective
cool,adjective
cooperative,adjective
corporate,adjective
critical,adjective
crude,adjective
cruel,adjective
cultural,adjective
curious,adjective
current,adjective
cute,adjective
daily,adjective
dangerous,adjective
dark,adjective
dead,adjective
deadly,adjective
deaf,adjective
decisive,adjective
decorative,adjective
deep,adjective
definite,adjective
delicate,adjective
democratic,adjective
dependent,adjective
desirable,adjective
different,adjective
difficult,adjective
digital,adjective
diplomatic,adjective
direct,adjective
dirty,adjective
discreet,adjective
distant,adjective
distinct,adjective
domestic,adjective
dominant,adjective
dramatic,adjective
dry,adjective
due,adjective
dull,adjective
dynamic,adjective
eager,adjective
early,adjective
easy,adjective
economic,adjective
educational,adjective
effective,adjective
efficient,adjective
electronic,adjective
elegant,adjective
eligible,adjective
eloquent,adjective
emotional,adjective
empirical,adjective
empty,adjective
encouraging,adjective
enjoyable,adjective
enthusiastic,adjective
environmental,adjective
equal,adjective
essential,adjective
established,adjective
eternal,adjective
ethical,adjective
ethnic,adjective
even,adjective
exact,adjective
excited,adjective
exciting,adjective
exclusive,adjective
exotic,adjective
expected,adjective
expensive,adjective
experienced,adjective
experimental,adjective
explicit,adjective
express,adjective
external,adjective
extinct,adjective
extraordinary,adjective
fair,adjective
faithful,adjective
false,adjective
familiar,adjective
far,adjective
fashionable,adjective
fast,adjective
fastidious,adjective
fat,adjective
favorable,adjective
federal,adjective
feminine,adjective
financial,adjective
fine,adjective
finished,adjective
first,adjective
firsthand,adjective
flat,adjective
flawed,adjective
flexible,adjective
foolish,adjective
formal,adjective
forward,adjective
fragrant,adjective
frank,adjective
free,adjective
frequent,adjective
fresh,adjective
friendly,adjective
frozen,adjective
full,adjective
full-time,adjective
functional,adjective
funny,adjective
general,adjective
generous,adjective
genetic,adjective
genuine,adjective
geological,adjective
glad,adjective
glorious,adjective
good,adjective
gradual,adjective
grand,adjective
graphic,adjective
grateful,adjective
great,adjective
green,adjective
gregarious,adjective
handy,adjective
happy,adjective
hard,adjective
harmful,adjective
harsh,adjective
healthy,adjective
heavy,adjective
helpful,adjective
helpless,adjective
high,adjective
hilarious,adjective
historical,adjective
holy,adjective
homosexual,adjective
honest,adjective
honorable,adjective
horizontal,adjective
hostile,adjective
hot,adjective
huge,adjective
human,adjective
hungry,adjective
ignorant,adjective
illegal,adjective
immune,adjective
imperial,adjective
implicit,adjective
important,adjective
impossible,adjective
impressive,adjective
inadequate,adjective
inappropriate,adjective
incapable,adjective
incongruous,adjective
incredible,adjective
independent,adjective
indigenous,adjective
indirect,adjective
indoor,adjective
industrial,adjective
inevitable,adjective
infinite,adjective
influential,adjective
informal,adjective
inner,adjective
innocent,adjective
insufficient,adjective
integrated,adjective
intellectual,adjective
intense,adjective
interactive,adjective
interesting,adjective
intermediate,adjective
internal,adjective
international,adjective
invisible,adjective
irrelevant,adjective
jealous,adjective
joint,adjective
judicial,adjective
junior,adjective
just,adjective
kind,adjective
large,adjective
last,adjective
late,adjective
latest,adjective
lazy,adjective
left,adjective
legal,adjective
legislative,adjective
liberal,adjective
light,adjective
likely,adjective
limited,adjective
linear,adjective
liquid,adjective
literary,adjective
live,adjective
lively,adjective
logical,adjective
lonely,adjective
long,adjective
loose,adjective
lost,adjective
loud,adjective
low,adjective
loyal,adjective
lucky,adjective
magnetic,adjective
main,adjective
major,adjective
manual,adjective
marine,adjective
married,adjective
mathematical,adjective
mature,adjective
maximum,adjective
meaningful,adjective
mechanical,adjective
medieval,adjective
memorable,adjective
mental,adjective
middle-class,adjective
mild,adjective
military,adjective
minimum,adjective
minor,adjective
miserable,adjective
mobile,adjective
modern,adjective
modest,adjective
molecular,adjective
monstrous,adjective
monthly,adjective
moral,adjective
moving,adjective
multiple,adjective
municipal,adjective
musical,adjective
mutual,adjective
narrow,adjective
national,adjective
native,adjective
necessary,adjective
negative,adjective
nervous,adjective
neutral,adjective
new,adjective
nice,adjective
noble,adjective
noisy,adjective
normal,adjective
notorious,adjective
nuclear,adjective
obese,adjective
objective,adjective
obscure,adjective
obvious,adjective
occupational,adjective
odd,adjective
offensive,adjective
official,adjective
old,adjective
open,adjective
operational,adjective
opposed,adjective
optimistic,adjective
optional,adjective
oral,adjective
ordinary,adjective
organic,adjective
original,adjective
orthodox,adjective
other,adjective
outer,adjective
outside,adjective
painful,adjective
parallel,adjective
paralyzed,adjective
parental,adjective
particular,adjective
part-time,adjective
passionate,adjective
passive,adjective
past,adjective
patient,adjective
peaceful,adjective
perfect,adjective
permanent,adjective
persistent,adjective
personal,adjective
petty,adjective
philosophical,adjective
physical,adjective
plain,adjective
pleasant,adjective
polite,adjective
political,adjective
poor,adjective
popular,adjective
portable,adjective
positive,adjective
possible,adjective
powerful,adjective
practical,adjective
precise,adjective
predictable,adjective
pregnant,adjective
premature,adjective
present,adjective
presidential,adjective
primary,adjective
private,adjective
privileged,adjective
productive,adjective
professional,adjective
profound,adjective
progressive,adjective
prolonged,adjective
proper,adjective
proportional,adjective
proud,adjective
provincial,adjective
public,adjective
pure,adjective
qualified,adjective
quantitative,adjective
quiet,adjective
racial,adjective
random,adjective
rare,adjective
rational,adjective
raw,adjective
ready,adjective
real,adjective
realistic,adjective
reasonable,adjective
reckless,adjective
regional,adjective
regular,adjective
related,adjective
relative,adjective
relevant,adjective
reliable,adjective
religious,adjective
representative,adjective
resident,adjective
residential,adjective
respectable,adjective
responsible,adjective
restless,adjective
restricted,adjective
